index,arrival,start_time,end_time,latency,function,node,duration,memory
0,0,1000,2000,1000.0,func-0,worker-0,1000.0,1000
1,1000,2000,3000,1000.0,func-1,worker-0,1000.0,1000
2,2000,2001,3001,1.0,func-0,worker-0,1000.0,1000
3,3000,3001,4001,1.0,func-1,worker-0,1000.0,1000
4,4000,4000,5000,0.0,func-0,worker-0,1000.0,1000
5,5000,5000,6000,0.0,func-1,worker-0,1000.0,1000
6,6000,6000,7000,0.0,func-0,worker-0,1000.0,1000
7,7000,7000,8000,0.0,func-1,worker-0,1000.0,1000
8,8000,8000,9000,0.0,func-0,worker-0,1000.0,1000
9,9000,9000,10000,0.0,func-1,worker-0,1000.0,1000
10,10000,10000,11000,0.0,func-0,worker-0,1000.0,1000
11,11000,11000,12000,0.0,func-1,worker-0,1000.0,1000
12,12000,12000,13000,0.0,func-0,worker-0,1000.0,1000
13,13000,13000,14000,0.0,func-1,worker-0,1000.0,1000
14,14000,14000,15000,0.0,func-0,worker-0,1000.0,1000
15,15000,15000,16000,0.0,func-1,worker-0,1000.0,1000
16,16000,16000,17000,0.0,func-0,worker-0,1000.0,1000
17,17000,17000,18000,0.0,func-1,worker-0,1000.0,1000
18,18000,18000,19000,0.0,func-0,worker-0,1000.0,1000
19,19000,19000,20000,0.0,func-1,worker-0,1000.0,1000
20,20000,20000,21000,0.0,func-0,worker-0,1000.0,1000
21,21000,21000,22000,0.0,func-1,worker-0,1000.0,1000
22,22000,22000,23000,0.0,func-0,worker-0,1000.0,1000
23,23000,23000,24000,0.0,func-1,worker-0,1000.0,1000
24,24000,24000,25000,0.0,func-0,worker-0,1000.0,1000
25,25000,25000,26000,0.0,func-1,worker-0,1000.0,1000
26,26000,26000,27000,0.0,func-0,worker-0,1000.0,1000
27,27000,27000,28000,0.0,func-1,worker-0,1000.0,1000
28,28000,28000,29000,0.0,func-0,worker-0,1000.0,1000
29,29000,29000,30000,0.0,func-1,worker-0,1000.0,1000
30,30000,30000,31000,0.0,func-0,worker-0,1000.0,1000
31,31000,31000,32000,0.0,func-1,worker-0,1000.0,1000
32,32000,32000,33000,0.0,func-0,worker-0,1000.0,1000
33,33000,33000,34000,0.0,func-1,worker-0,1000.0,1000
34,34000,34000,35000,0.0,func-0,worker-0,1000.0,1000
35,35000,35000,36000,0.0,func-1,worker-0,1000.0,1000
36,36000,36000,37000,0.0,func-0,worker-0,1000.0,1000
37,37000,37000,38000,0.0,func-1,worker-0,1000.0,1000
38,38000,38000,39000,0.0,func-0,worker-0,1000.0,1000
39,39000,39000,40000,0.0,func-1,worker-0,1000.0,1000
40,40000,40000,41000,0.0,func-0,worker-0,1000.0,1000
41,41000,41000,42000,0.0,func-1,worker-0,1000.0,1000
42,42000,42000,43000,0.0,func-0,worker-0,1000.0,1000
43,43000,43000,44000,0.0,func-1,worker-0,1000.0,1000
44,44000,44000,45000,0.0,func-0,worker-0,1000.0,1000
45,45000,45000,46000,0.0,func-1,worker-0,1000.0,1000
46,46000,46000,47000,0.0,func-0,worker-0,1000.0,1000
47,47000,47000,48000,0.0,func-1,worker-0,1000.0,1000
48,48000,48000,49000,0.0,func-0,worker-0,1000.0,1000
49,49000,49000,50000,0.0,func-1,worker-0,1000.0,1000
50,50000,50000,51000,0.0,func-0,worker-0,1000.0,1000
51,51000,51000,52000,0.0,func-1,worker-0,1000.0,1000
52,52000,52000,53000,0.0,func-0,worker-0,1000.0,1000
53,53000,53000,54000,0.0,func-1,worker-0,1000.0,1000
54,54000,54000,55000,0.0,func-0,worker-0,1000.0,1000
55,55000,55000,56000,0.0,func-1,worker-0,1000.0,1000
56,56000,56000,57000,0.0,func-0,worker-0,1000.0,1000
57,57000,57000,58000,0.0,func-1,worker-0,1000.0,1000
58,58000,58000,59000,0.0,func-0,worker-0,1000.0,1000
59,59000,59000,60000,0.0,func-1,worker-0,1000.0,1000
